region,part,pctofwin
NALCS,0,0.4507042253521127
NALCS,1,0.4673768308921438
NALCS,2,0.44123711340206184
NALCS,3,0.47305389221556887
NALCS,4,0.4732824427480916
NALCS,5,0.515625
NALCS,6,0.4814004376367615
NALCS,7,0.48519362186788156
NALCS,8,0.5498783454987834
NALCS,9,0.5330882352941176
NALCS,10,0.5683297180043384
NALCS,11,0.5597609561752988
NALCS,12,0.5529661016949152
NALCS,13,0.6353211009174312
NALCS,14,0.5435244161358811
NALCS,15,0.5833333333333334
NALCS,16,0.6
NALCS,17,0.5833333333333334
NALCS,18,0.6536144578313253
NALCS,19,0.6058631921824105
NALCS,20,0.6196319018404908
NALCS,21,0.6258992805755396
NALCS,22,0.604602510460251
NALCS,23,0.6377708978328174
NALCS,24,0.6197604790419161
NALCS,25,0.6327944572748267
NALCS,26,0.6157205240174672
NALCS,27,0.6213389121338913
NALCS,28,0.5886524822695035
NALCS,29,0.6177606177606177
NALCS,30,0.6365638766519823
NALCS,31,0.63718820861678
NALCS,32,0.6363636363636364
NALCS,33,0.6403846153846153
NALCS,34,0.6430020283975659
NALCS,35,0.6449579831932774
NALCS,36,0.6750524109014675
NALCS,37,0.6150537634408603
NALCS,38,0.6666666666666666
NALCS,39,0.6761565836298933
NALCS,40,0.6615969581749049
NALCS,41,0.711864406779661
NALCS,42,0.6375838926174496
NALCS,43,0.7212389380530974
NALCS,44,0.6856540084388185
NALCS,45,0.6847389558232931
NALCS,46,0.6618357487922706
NALCS,47,0.6869009584664537
NALCS,48,0.6046511627906976
NALCS,49,0.7191176470588235
NALCS,50,0.6965174129353234
NALCS,51,0.6887871853546911
NALCS,52,0.7137014314928425
NALCS,53,0.7240566037735849
NALCS,54,0.7622950819672131
NALCS,55,0.6680851063829787
NALCS,56,0.7602591792656588
NALCS,57,0.7102803738317757
NALCS,58,0.6831683168316832
NALCS,59,0.7665562913907285
NALCS,60,0.7083333333333334
NALCS,61,0.7613168724279835
NALCS,62,0.7306843267108167
NALCS,63,0.7636761487964989
NALCS,64,0.7473684210526316
NALCS,65,0.7839643652561247
NALCS,66,0.777511961722488
NALCS,67,0.7924528301886793
NALCS,68,0.7591623036649214
NALCS,69,0.7817531305903399
NALCS,70,0.7868131868131868
NALCS,71,0.7817047817047817
NALCS,72,0.7759433962264151
NALCS,73,0.8253521126760563
NALCS,74,0.8054662379421221
NALCS,75,0.8143712574850299
NALCS,76,0.8112745098039216
NALCS,77,0.8112449799196787
