x,y
642,386
631,506
895,329
483,509
306,724
323,696
541,65
506,98
382,438
354,638
501,463
566,331
568,74
636,167
437,485
501,960
521,530
682,462
642,430
636,300
559,480
635,56
671,229
661,210
520,947
331,898
412,394
452,441
514,391
449,820
113,830
294,639
330,640
360,715
297,679
683,100
616,145
399,456
61,494
233,618
42,254
322,613
379,615
311,486
52,737
115,896
156,807
364,899
475,732
375,400
254,619
634,490
797,128
883,137
589,362
612,312
740,490
695,526
866,361
733,61
58,685
381,370
723,246
778,215
470,471
362,384
319,432
195,762
422,390
878,157
787,211
757,109
371,345
429,308
97,707
68,697
719,194
651,601
390,444
422,415
492,522
429,793
582,255
489,556
840,169
85,605
287,490
509,188
517,226
442,222
350,51
312,56
776,461
348,722
856,212
570,515
425,493
648,369
377,430
760,84
949,295
890,143
404,959
408,868
253,885
554,809
608,560
783,130
63,489
187,674
575,407
283,697
348,707
518,73
337,789
272,767
621,625
682,734
567,245
469,449
444,927
454,938
411,911
444,905
140,671
229,629
364,209
336,314
381,250
662,335
715,345
60,675
80,693
57,643
407,462
92,725
729,328
717,327
479,70
235,678
54,506
921,234
804,721
663,102
404,407
52,483
652,612
409,481
860,498
961,552
724,766
543,525
485,468
478,483
336,543
833,332
173,666
746,291
580,396
590,300
459,427
789,313
751,341
697,395
642,430
210,551
575,539
377,398
456,505
385,336
464,506
453,424
539,334
520,340
526,410
745,290
799,253
708,388
659,295
639,297
292,848
619,398
598,394
103,820
443,470
717,350
808,110
870,115
925,304
493,477
712,56
788,454
631,579
508,794
440,411
258,703
249,732
100,814
241,929
122,821
341,347
725,206
212,528
277,494
105,140
105,233
76,84
828,80
807,95
270,858
895,346
857,502
434,626
790,105
761,388
392,54
483,416
522,389
304,274
243,293
264,247
184,553
309,581
955,262
628,778
666,370
929,246
805,374
942,476
396,743
559,446
521,404
472,436
814,241
772,380
784,300
448,476
464,473
334,388
375,412
444,573
329,367
335,366
782,129
853,179
848,203
94,652
228,713
259,862
358,585
733,509
350,724
350,720
354,738
349,715
496,449
599,450
645,317
196,867
914,442
946,455
586,368
112,451
140,654
279,689
758,77
546,541
694,488
689,557
649,660
655,64
707,56
803,72
948,475
919,555
962,613
951,656
464,430
437,543
897,567
959,424
920,419
385,952
368,883
316,813
237,717
528,390
523,478
420,497
209,625
344,690
234,575
586,453
561,447
587,358
424,460
545,576
764,362
556,710
558,693
554,737
523,786
377,603
271,669
370,590
202,933
117,815
77,721
58,747
60,728
539,527
406,343
479,215
576,72
685,162
161,630
84,427
213,461
310,343
327,342
548,544
593,237
602,430
821,507
649,491
950,656
681,664
548,555
302,955
314,668
349,654
527,906
56,758
346,342
326,340
546,459
600,425
307,296
340,240
239,130
207,41
729,325
584,348
781,266
785,84
944,398
552,583
335,512
349,588
288,676
726,320
744,470
495,466
393,625
457,778
250,938
255,935
328,958
466,502
457,463
463,442
411,420
409,407
941,224
421,458
644,379
663,373
602,373
561,242
348,407
587,347
533,337
429,297
388,349
384,365
553,147
737,60
267,926
576,96
449,181
452,505
110,329
628,492
115,883
810,499
748,478
826,462
231,572
516,407
652,608
113,685
321,408
358,655
397,639
501,691
234,722
224,529
144,793
81,625
809,349
664,173
691,62
391,500
476,456
430,464
420,478
377,369
725,100
707,109
861,167
165,519
105,484
88,448
683,99
823,208
562,509
415,395
489,321
363,624
144,602
822,94
144,647
511,594
109,740
440,650
491,624
591,754
385,854
295,805
267,769
385,785
675,604
432,779
452,777
535,354
362,388
356,398
325,329
339,308
363,329
236,437
679,57
693,84
742,103
678,607
