x,y
668,649
275,925
517,512
552,763
656,389
922,266
962,347
556,959
573,959
495,933
332,940
189,830
552,528
415,449
614,565
699,699
833,232
209,827
499,433
673,78
569,175
632,617
590,675
388,959
570,479
541,521
576,683
580,467
657,686
655,672
743,527
658,613
639,657
695,550
533,515
502,609
532,574
586,662
651,686
659,656
837,461
871,722
467,632
777,303
792,458
940,558
220,723
200,771
246,892
652,398
700,482
228,934
403,53
629,684
618,959
911,179
685,446
619,510
581,452
501,535
454,880
591,367
851,765
700,480
541,529
612,512
532,685
767,535
681,80
580,260
574,906
152,828
610,436
342,741
441,665
478,285
431,905
163,814
264,859
594,537
554,522
843,522
635,656
610,872
656,396
932,571
117,766
523,391
719,394
676,325
810,378
204,657
95,853
631,395
676,378
776,381
905,283
593,411
373,74
535,669
281,954
519,918
827,599
873,641
911,508
90,817
896,378
421,293
490,199
377,236
718,359
756,378
794,265
749,331
722,347
312,935
720,343
766,397
802,510
937,283
610,322
537,324
696,203
923,392
949,469
508,419
935,227
609,610
581,604
657,638
608,429
559,506
809,271
960,468
353,954
871,114
450,634
603,563
832,320
767,320
768,423
428,417
550,482
757,125
683,614
771,490
846,349
733,376
774,402
557,419
428,557
463,459
437,352
492,320
492,460
293,958
684,208
713,203
761,394
877,345
601,401
549,395
651,428
815,348
466,460
597,345
609,312
592,311
600,300
538,324
922,299
960,294
960,295
287,909
958,444
926,503
411,404
473,490
557,476
612,528
758,126
766,374
622,615
360,850
569,564
668,708
468,528
505,507
635,495
624,494
684,426
683,638
129,780
180,929
188,916
218,879
939,329
943,498
431,419
492,464
360,421
615,595
791,423
777,428
360,640
257,657
642,592
578,345
583,514
365,963
579,547
500,470
603,545
714,95
682,645
677,642
629,929
962,377
578,613
606,523
657,612
781,601
925,533
575,389
632,411
192,811
529,451
529,376
696,345
758,386
606,374
466,514
188,854
956,365
483,245
758,374
818,379
806,372
879,348
763,394
687,379
719,378
704,352
953,516
637,585
545,553
284,955
627,599
451,689
411,729
380,762
588,696
577,953
571,438
567,481
470,468
353,608
745,363
609,922
503,400
847,197
375,837
403,592
212,533
914,518
467,494
804,180
860,140
618,591
371,844
106,817
674,433
664,599
653,415
697,481
427,565
773,215
850,181
580,935
576,365
511,515
496,863
653,365
884,130
841,100
796,232
525,597
663,367
634,376
763,377
294,936
802,408
95,813
449,871
533,637
106,763
70,584
50,615
140,846
827,86
444,571
468,554
572,478
536,487
609,558
415,334
292,294
868,181
707,326
671,394
614,397
771,424
105,793
543,236
68,522
464,424
522,490
654,639
490,508
591,610
759,724
433,311
546,287
527,250
938,290
130,837
297,959
894,369
178,919
310,948
813,166
926,214
909,537
195,780
250,922
231,932
306,411
326,453
702,315
796,307
809,285
637,611
897,232
687,554
380,944
688,269
396,956
337,961
313,943
333,421
553,587
50,490
662,488
583,540
363,721
612,523
672,429
608,549
257,753
499,549
544,587
793,387
814,368
560,461
382,369
754,344
90,768
208,663
313,835
913,449
831,151
480,542
268,927
797,274
658,624
502,506
903,247
616,394
680,462
601,410
652,393
755,257
837,317
746,226
787,218
732,159
525,222
315,669
589,270
485,274
466,532
459,523
790,421
787,487
716,727
705,363
662,436
734,371
777,392
892,524
233,943
820,78
389,592
890,194
919,176
908,265
435,861
468,663
682,704
271,909
283,952
347,959
322,927
304,936
328,554
425,697
621,653
729,827
338,657
452,436
452,562
174,886
536,80
462,197
614,372
494,914
332,906
591,359
524,675
205,520
591,236
727,172
774,129
776,124
734,148
738,301
909,250
755,304
771,323
774,431
616,271
776,84
873,118
238,889
793,122
861,139
569,379
592,369
702,446
586,534
812,525
779,550
641,589
621,598
559,596
572,369
696,497
640,404
207,871
124,891
123,666
69,401
678,171
750,468
405,505
393,513
379,404
940,334
419,556
513,513
570,417
784,462
474,439
695,350
683,409
791,285
963,329
555,591
472,881
188,822
616,439
884,222
52,643
871,222
764,113
799,76
581,564
480,474
937,279
334,958
651,666
637,666
864,146
673,661
641,766
586,712
651,820
686,824
620,652
266,923
513,592
652,604
476,784
645,611
207,893
592,625
266,790
866,108
151,916
953,381
623,932
133,830
161,911
120,898
763,390
771,459
447,456
510,484
721,752
741,512
71,587
237,629
417,664
834,570
897,508
916,748
856,831
453,208
561,352
624,579
603,558
60,769
247,486
52,478
888,241
957,287
640,666
694,713
917,157
928,181
931,303
898,290
350,707
311,621
396,646
287,348
912,791
741,375
948,234
943,597
503,603
462,514
706,350
720,242
711,334
87,691
142,896
628,623
164,492
821,463
791,520
924,633
902,240
701,402
638,392
653,493
556,584
681,655
423,442
797,212
926,191
917,246
900,245
276,927
876,131
903,154
794,114
901,211
920,305
210,804
617,396
627,483
863,197
266,956
684,906
753,724
182,449
353,724
325,716
321,729
209,867
899,196
962,354
917,375
737,308
669,442
217,912
918,576
924,735
590,523
533,593
542,502
907,369
913,479
276,959
914,276
916,315
965,302
403,767
882,224
852,94
897,758
445,485
452,311
511,219
208,810
197,784
80,805
204,820
93,860
524,683
955,350
954,334
672,180
860,208
858,192
892,304
861,174
926,240
133,850
687,442
666,422
465,567
569,360
590,334
370,521
589,616
67,649
559,437
251,897
597,555
598,547
583,605
785,440
914,368
955,349
228,902
269,953
960,409
370,734
646,654
527,504
516,497
684,360
899,377
525,479
564,578
676,494
562,151
491,595
721,694
652,695
384,735
625,682
227,735
692,475
545,665
424,741
686,587
197,779
519,906
565,963
670,387
683,396
570,473
468,455
284,856
873,219
296,958
683,399
543,932
907,185
603,881
904,388
565,550
549,843
577,848
614,930
366,929
779,268
959,293
674,667
468,866
506,848
929,575
823,202
755,62
373,404
429,443
238,573
244,113
546,755
134,805
268,900
204,859
391,894
380,834
377,845
426,747
810,459
725,863
963,385
713,663
539,378
482,307
745,375
530,670
936,223
256,903
489,363
563,348
528,415
948,463
464,488
758,449
760,374
772,460
857,441
645,651
575,786
591,774
598,783
633,780
858,782
802,766
740,818
875,933
927,946
689,356
278,949
333,952
475,80
957,281
677,392
677,411
676,333
281,925
952,347
958,445
945,440
582,541
638,621
644,607
776,125
554,956
827,820
799,846
801,844
327,419
325,421
196,560
190,848
757,262
804,307
773,270
751,294
910,283
909,304
904,285
686,482
684,464
565,577
325,667
373,636
361,637
530,371
368,726
355,693
624,86
305,547
322,557
600,617
75,743
697,426
691,566
681,629
828,441
740,476
789,445
474,571
935,243
623,386
746,375
82,548
717,190
454,507
114,486
165,667
373,74
228,463
139,363
232,326
615,646
550,554
718,373
451,687
111,601
87,447
95,623
577,574
131,803
144,880
641,372
851,200
802,295
783,389
667,360
674,352
696,539
874,503
892,505
628,630
720,723
