x,y
2018,672,60
2018,55,692
2018,51,638
2018,284,922
2018,57,716
2018,556,452
2018,379,437
2018,509,409
2018,766,79
2018,840,125
2018,461,600
2018,93,485
2018,56,738
2018,700,608
2018,786,410
2018,100,742
2018,225,789
2018,710,451
2018,594,289
2018,577,404
2018,85,711
2018,591,364
2018,608,514
2018,55,699
2018,49,591
2018,347,794
2018,889,181
2018,62,731
2018,199,645
2018,800,109
2018,436,489
2018,563,697
2018,749,306
2018,791,332
2018,815,339
2018,756,124
2018,188,889
2018,209,793
2018,730,59
2018,689,71
2018,544,58
2018,533,95
2018,212,907
2018,431,424
2018,409,379
2018,101,720
2018,56,710
2018,184,802
2018,453,564
2018,479,650
2018,696,61
2018,704,59
2018,743,329
2018,709,288
2018,730,156
2018,60,700
2018,790,75
2018,417,415
2018,699,180
2018,100,785
2018,170,929
2018,89,754
2018,380,426
2018,325,421
2018,87,758
2018,105,739
2018,790,80
2018,734,92
2018,278,939
2018,382,613
2018,448,443
2018,774,391
2018,757,317
2018,468,498
2018,539,131
2018,579,545
2018,721,82
2018,744,73
2018,626,56
2018,373,430
2018,757,87
2018,726,90
2018,376,419
2018,459,441
2018,926,218
2018,913,344
2018,346,783
2018,703,373
2018,551,589
2018,94,770
2018,926,196
2018,799,135
2018,758,80
2018,774,67
2018,670,72
2018,633,73
2018,492,88
2018,461,440
2018,506,546
2018,504,915
2018,89,769
2018,891,140
2018,564,489
2018,119,850
2018,125,867
2018,93,814
2018,847,124
2018,218,815
2018,284,773
2018,316,687
2018,371,414
2018,405,428
2018,415,463
2018,392,445
2018,567,112
2018,81,793
2018,877,170
2018,831,169
2018,844,101
2018,599,407
2018,807,126
2018,742,131
2018,705,70
2018,714,57
2018,942,339
2018,445,856
2018,766,74
2018,422,435
2018,775,67
2018,807,178
2018,250,636
2018,65,751
2018,465,461
2018,881,228
2018,888,170
2018,209,444
2018,222,936
2018,234,903
2018,442,330
2018,120,782
2018,209,880
2018,580,399
2018,98,823
2018,839,176
2018,431,633
2018,441,455
2018,870,117
2018,805,165
2018,830,106
2018,793,544
2018,586,517
2018,214,663
2018,359,930
2018,840,341
2018,788,282
2018,206,880
2018,439,420
2018,732,381
2018,593,372
2018,592,354
2018,387,423
2018,377,413
2018,360,776
2018,510,184
2018,535,476
2018,364,927
2018,336,840
2018,178,897
2018,108,689
2018,414,399
2018,583,65
2018,512,56
2018,450,458
2018,629,368
2018,54,534
2018,687,54
2018,818,361
2018,776,348
2018,488,524
2018,778,123
2018,57,711
2018,794,128
2018,59,734
2018,231,473
2018,409,445
2018,507,511
2018,585,330
2018,309,557
2018,66,808
2018,375,414
2018,113,828
2018,294,838
2018,807,237
2018,454,447
2018,684,59
2018,277,888
2018,709,101
2018,568,56
2018,708,80
2018,798,74
2018,105,510
2018,98,740
2018,511,459
2018,485,257
2018,63,674
2018,55,641
2018,195,922
2018,430,849
2018,433,425
2018,101,806
2018,88,790
2018,795,197
2018,681,58
2018,470,557
2018,512,540
2018,381,395
2018,528,962
2018,155,827
2018,81,760
2018,703,88
2018,146,810
2018,198,800
2018,82,719
2018,91,462
2018,88,534
2018,133,817
