x,y
2014,558,557
2014,601,577
2014,545,43
2014,549,590
2014,626,218
2014,664,262
2014,562,147
2014,647,166
2014,574,283
2014,931,285
2014,255,939
2014,537,797
2014,408,846
2014,452,862
2014,456,853
2014,122,829
2014,220,896
2014,893,161
2014,474,457
2014,739,70
2014,568,380
2014,565,430
2014,729,101
2014,920,255
2014,922,262
2014,162,896
2014,786,59
2014,801,156
2014,562,559
2014,137,624
2014,225,936
2014,545,677
2014,360,849
2014,851,109
2014,87,682
2014,35,760
2014,697,349
2014,859,151
2014,545,234
2014,584,273
2014,847,185
2014,442,539
2014,210,923
2014,283,942
2014,276,892
2014,285,938
2014,766,63
2014,512,329
2014,95,736
2014,620,94
2014,749,72
2014,286,923
2014,867,334
2014,899,456
2014,928,562
2014,872,263
2014,870,274
2014,914,322
2014,535,541
2014,184,915
2014,425,498
2014,862,198
2014,859,213
2014,861,329
2014,284,620
2014,554,515
2014,244,910
2014,275,916
2014,560,560
2014,389,896
2014,513,553
2014,485,505
2014,463,430
2014,395,946
2014,454,644
2014,268,942
2014,224,883
2014,854,185
2014,167,853
2014,917,322
2014,616,558
2014,572,430
2014,923,259
2014,433,627
2014,185,880
2014,254,938
2014,301,718
2014,541,225
2014,929,287
2014,927,332
2014,212,912
2014,660,326
2014,669,297
2014,30,728
2014,532,65
2014,602,586
2014,552,227
2014,643,428
2014,103,781
2014,36,770
2014,49,833
2014,576,551
2014,582,946
2014,686,945
2014,532,568
2014,292,927
2014,549,333
2014,711,333
2014,682,340
2014,717,306
2014,687,307
2014,724,287
2014,690,312
2014,746,284
2014,734,379
2014,765,368
2014,847,478
2014,932,275
2014,718,288
2014,782,242
2014,731,429
2014,713,700
2014,684,596
2014,898,310
2014,934,294
2014,870,236
2014,888,491
2014,660,391
2014,596,424
2014,758,121
2014,914,216
2014,912,243
2014,855,176
2014,877,131
2014,454,459
2014,620,50
2014,619,78
2014,798,119
2014,581,585
