x,y
2015,630,578
2015,584,563
2015,268,951
2015,606,593
2015,238,941
2015,80,753
2015,77,750
2015,226,885
2015,184,520
2015,567,511
2015,767,389
2015,694,398
2015,422,866
2015,932,269
2015,86,815
2015,833,111
2015,580,452
2015,283,917
2015,604,598
2015,579,535
2015,518,326
2015,552,366
2015,632,421
2015,942,323
2015,74,826
2015,930,292
2015,801,289
2015,64,790
2015,133,671
2015,859,187
2015,581,557
2015,688,505
2015,828,106
2015,207,822
2015,854,110
2015,917,297
2015,326,918
2015,240,953
2015,308,957
2015,641,624
2015,530,548
2015,294,811
2015,403,873
2015,722,689
2015,933,274
2015,537,641
2015,831,115
2015,528,521
2015,492,485
2015,507,425
2015,929,245
2015,234,712
2015,532,507
2015,312,900
2015,809,156
2015,294,801
2015,282,887
2015,464,491
2015,258,952
2015,897,343
2015,266,958
2015,537,506
2015,510,693
2015,473,647
2015,666,410
2015,651,373
2015,471,908
2015,304,785
2015,262,725
2015,153,810
2015,927,222
2015,397,837
2015,925,191
2015,221,883
2015,203,917
2015,507,252
2015,401,72
2015,553,515
2015,211,897
2015,179,856
2015,921,453
2015,97,726
2015,504,421
2015,284,958
2015,289,827
2015,234,945
2015,261,922
2015,248,940
2015,699,214
2015,589,562
2015,415,480
2015,329,954
2015,336,934
2015,937,242
2015,215,876
2015,326,941
2015,524,594
2015,899,189
2015,934,214
2015,178,882
2015,912,177
2015,61,786
2015,951,320
2015,195,914
2015,330,952
2015,419,963
2015,886,144
2015,478,469
2015,594,580
2015,586,363
2015,262,887
2015,188,873
2015,690,275
2015,246,892
2015,440,656
2015,484,557
2015,565,575
2015,609,604
2015,622,612
2015,270,954
2015,211,941
2015,363,894
2015,914,171
2015,837,140
2015,726,163
2015,437,483
2015,701,455
2015,705,461
2015,891,267
2015,475,486
2015,632,599
2015,562,539
2015,314,958
2015,320,959
2015,239,771
2015,855,159
2015,557,707
2015,182,865
2015,193,795
2015,815,266
2015,871,135
2015,849,208
2015,845,210
2015,102,862
2015,936,313
2015,575,589
2015,417,939
2015,962,298
2015,676,177
2015,862,195
2015,642,598
2015,309,936
2015,879,169
2015,898,173
2015,581,616
2015,762,400
2015,830,497
2015,892,276
2015,950,284
2015,571,568
2015,951,295
2015,778,132
2015,133,825
2015,831,142
2015,133,789
2015,282,957
2015,459,959
2015,746,527
2015,909,256
2015,183,854
2015,578,146
2015,726,153
2015,767,326
2015,850,416
2015,254,689
2015,959,260
2015,837,446
2015,657,390
2015,452,479
2015,550,559
2015,621,573
2015,189,808
2015,872,160
2015,648,636
2015,111,587
2015,146,654
2015,112,714
2015,961,281
2015,510,925
2015,589,425
2015,179,898
2015,917,319
2015,960,331
2015,315,958
2015,960,300
2015,207,775
2015,526,374
2015,515,351
2015,505,354
2015,523,354
2015,961,470
2015,699,497
2015,345,942
2015,945,324
2015,949,333
2015,557,169
2015,676,294
2015,674,279
2015,165,871
2015,220,891
2015,483,944
2015,792,84
2015,961,344
2015,677,653
2015,640,392
2015,330,946
2015,210,921
2015,522,501
2015,774,431
2015,239,922
