x,y
2018,120,736
2018,467,485
2018,576,612
2018,734,65
2018,482,469
2018,474,467
2018,446,533
2018,473,613
2018,446,647
2018,672,784
2018,60,496
2018,564,451
2018,840,432
2018,610,376
2018,847,350
2018,810,204
2018,861,104
2018,780,125
2018,703,579
2018,818,148
2018,943,385
2018,326,839
2018,725,321
2018,131,780
2018,527,451
2018,341,837
2018,603,253
2018,543,584
2018,507,766
2018,559,571
2018,385,441
2018,713,60
2018,328,735
2018,84,751
2018,847,128
2018,746,241
2018,963,563
2018,651,646
2018,681,59
2018,607,99
2018,587,409
2018,562,75
2018,721,58
2018,892,192
2018,472,558
2018,628,578
2018,123,826
2018,893,225
2018,734,350
2018,760,394
2018,767,408
2018,775,332
2018,474,427
2018,547,728
2018,482,777
2018,73,785
2018,659,302
2018,288,680
2018,775,62
2018,230,524
2018,393,446
2018,595,305
2018,693,164
2018,603,150
2018,526,474
2018,376,399
2018,278,684
2018,440,78
2018,241,916
2018,495,479
2018,479,458
2018,318,301
2018,300,299
2018,278,299
2018,318,315
2018,329,672
2018,568,64
2018,138,910
2018,242,614
2018,728,144
2018,695,165
2018,352,928
2018,354,781
2018,291,785
2018,509,593
2018,332,318
2018,408,352
2018,439,416
2018,254,505
2018,239,629
2018,325,606
2018,693,66
2018,519,63
2018,625,59
2018,729,218
2018,81,667
2018,53,546
2018,228,566
2018,694,401
2018,576,520
2018,808,114
2018,741,130
2018,786,101
2018,881,217
2018,883,236
2018,535,518
2018,536,498
2018,532,396
2018,350,733
2018,459,495
2018,597,673
2018,542,685
2018,509,538
2018,528,531
2018,476,518
2018,303,304
2018,295,295
2018,352,366
2018,367,354
2018,598,558
2018,525,324
2018,521,94
2018,278,851
2018,473,279
2018,72,724
2018,882,121
2018,848,132
2018,775,98
2018,628,492
2018,115,883
2018,810,499
2018,748,478
2018,826,462
2018,231,572
2018,516,407
2018,652,608
2018,113,685
2018,321,408
2018,358,655
2018,397,639
2018,501,691
2018,234,722
2018,224,529
2018,144,793
2018,81,625
2018,809,349
2018,664,173
2018,691,62
2018,391,500
2018,476,456
2018,430,464
2018,420,478
2018,377,369
2018,185,791
2018,405,465
2018,409,457
2018,391,448
2018,194,942
2018,256,632
2018,245,684
2018,221,561
2018,56,498
2018,664,318
2018,725,376
2018,818,373
2018,909,233
2018,727,61
2018,357,715
2018,276,683
2018,82,836
2018,313,458
2018,249,623
2018,348,696
2018,778,103
2018,842,151
2018,858,139
2018,821,79
2018,644,56
2018,548,458
2018,466,436
2018,428,413
2018,422,395
2018,602,64
2018,615,84
2018,429,157
2018,345,724
2018,656,676
2018,743,719
2018,710,107
2018,449,463
2018,438,437
2018,468,456
2018,371,387
2018,568,483
2018,550,492
2018,434,547
2018,408,564
2018,348,631
2018,360,708
2018,496,450
2018,342,745
2018,707,58
2018,186,924
2018,886,131
2018,400,481
2018,803,167
