x,y
2015,949,406
2015,565,538
2015,581,607
2015,634,595
2015,655,360
2015,680,464
2015,742,367
2015,584,183
2015,532,574
2015,903,144
2015,812,77
2015,780,65
2015,694,370
2015,865,212
2015,875,219
2015,929,269
2015,442,539
2015,445,523
2015,392,628
2015,388,502
2015,568,594
2015,392,448
2015,446,485
2015,399,492
2015,957,322
2015,748,710
2015,763,666
2015,803,223
2015,650,503
2015,537,595
2015,86,131
2015,301,932
2015,748,363
2015,622,490
2015,774,663
2015,736,767
2015,795,760
2015,597,595
2015,757,512
2015,456,486
2015,507,396
2015,651,434
2015,679,451
2015,798,520
2015,514,78
2015,515,60
2015,952,280
2015,457,628
2015,521,594
2015,727,370
2015,564,692
2015,567,688
2015,574,523
2015,474,524
2015,331,961
2015,617,565
2015,484,192
2015,544,55
2015,788,515
2015,612,658
2015,629,643
2015,690,489
2015,611,623
2015,474,534
2015,621,594
2015,588,581
2015,817,187
2015,952,324
2015,926,243
2015,464,482
2015,365,897
2015,349,922
2015,497,912
2015,463,518
2015,489,186
2015,579,151
2015,523,956
2015,612,532
2015,539,524
2015,828,513
2015,832,135
2015,460,960
2015,502,495
2015,496,469
2015,213,645
2015,604,566
2015,409,485
2015,816,364
2015,880,492
2015,758,676
2015,754,378
2015,737,339
2015,763,249
2015,743,317
2015,466,952
2015,282,785
2015,622,903
2015,404,840
2015,775,379
2015,731,365
2015,825,545
2015,577,466
2015,542,483
2015,297,897
2015,914,216
2015,916,224
2015,659,298
2015,583,584
2015,963,466
2015,577,599
2015,152,856
2015,55,322
2015,69,423
2015,83,276
2015,561,241
2015,917,616
2015,476,729
2015,495,948
2015,720,213
2015,259,551
2015,244,758
2015,693,676
2015,847,116
2015,939,572
2015,122,827
2015,790,476
2015,112,757
2015,709,332
2015,737,595
2015,224,807
2015,755,312
2015,359,785
2015,756,591
2015,831,571
2015,840,764
2015,732,701
2015,772,724
2015,631,597
2015,572,507
2015,961,288
2015,965,312
2015,477,544
2015,680,678
2015,647,650
2015,602,614
2015,564,595
2015,677,711
2015,525,956
2015,551,966
2015,690,908
2015,713,917
2015,817,488
2015,548,533
2015,525,581
2015,216,872
2015,528,458
2015,552,498
2015,565,501
2015,589,415
2015,554,445
2015,573,340
2015,571,479
2015,68,272
2015,62,332
2015,727,220
2015,940,423
2015,581,414
2015,491,437
2015,527,385
2015,531,386
2015,601,320
2015,255,782
2015,493,467
2015,462,659
2015,482,622
2015,534,562
2015,185,881
2015,678,164
2015,604,76
2015,678,104
2015,255,950
2015,529,601
2015,513,612
2015,247,697
2015,308,955
2015,506,485
2015,524,912
2015,611,439
2015,317,542
2015,177,509
2015,171,510
2015,260,638
2015,76,448
2015,325,639
2015,569,464
2015,733,334
2015,751,377
2015,682,678
2015,569,520
2015,472,619
2015,111,773
2015,365,912
2015,775,122
2015,266,711
2015,185,812
2015,621,958
2015,343,746
2015,338,722
2015,215,892
2015,358,957
2015,640,419
2015,647,417
2015,578,565
2015,523,948
2015,963,316
2015,942,325
2015,533,486
2015,322,607
2015,224,505
2015,714,373
2015,762,312
2015,770,309
2015,829,326
2015,680,228
2015,752,272
2015,849,339
2015,653,368
2015,548,518
2015,951,347
2015,702,318
2015,494,114
2015,450,171
2015,630,615
2015,743,789
2015,719,790
2015,788,724
2015,817,255
2015,843,804
2015,572,508
2015,387,882
2015,401,928
2015,477,511
2015,271,931
2015,86,840
2015,719,339
2015,566,825
2015,531,924
2015,427,748
2015,655,499
2015,838,496
2015,251,777
2015,251,768
2015,404,724
2015,682,460
2015,676,446
2015,558,561
2015,586,601
2015,851,188
2015,491,607
2015,951,231
2015,933,272
2015,889,142
2015,382,938
2015,462,951
2015,471,940
2015,514,948
2015,782,488
2015,796,464
2015,685,655
2015,623,494
2015,571,537
2015,607,450
2015,397,758
2015,611,511
2015,543,667
2015,553,597
2015,489,632
2015,694,616
2015,550,694
2015,254,781
2015,804,214
2015,823,337
2015,829,333
2015,906,328
2015,845,355
2015,956,284
2015,750,105
2015,503,486
2015,539,549
2015,574,342
2015,513,463
2015,542,521
2015,326,959
2015,523,776
2015,540,55
2015,887,133
2015,323,944
2015,507,490
2015,155,582
2015,244,665
2015,778,384
2015,160,803
2015,525,395
2015,573,387
2015,491,340
2015,523,51
2015,459,503
2015,477,478
2015,499,424
2015,951,267
2015,699,507
2015,808,524
2015,187,897
2015,318,955
2015,571,513
2015,605,607
2015,438,962
2015,553,435
2015,520,63
2015,501,64
2015,463,448
2015,481,480
2015,557,556
2015,558,591
2015,290,957
2015,221,896
2015,247,916
2015,192,854
2015,391,884
2015,362,328
2015,330,260
2015,275,953
2015,580,603
2015,592,356
2015,464,859
2015,406,844
2015,400,857
2015,566,527
2015,775,430
2015,707,357
2015,623,392
2015,644,926
2015,951,537
2015,860,649
2015,364,616
2015,442,216
2015,419,346
2015,587,593
2015,687,91
2015,609,150
2015,672,119
2015,402,376
2015,521,501
2015,956,302
2015,927,280
2015,607,744
2015,285,694
2015,363,704
2015,652,674
2015,668,291
2015,699,319
2015,669,276
2015,603,590
2015,883,171
2015,816,211
2015,592,306
2015,486,457
2015,565,443
2015,582,392
2015,558,531
2015,512,74
2015,317,932
2015,598,561
2015,652,655
2015,386,960
2015,288,938
2015,392,899
2015,370,842
2015,243,653
2015,728,362
2015,388,435
2015,256,904
2015,456,504
2015,438,592
2015,606,428
2015,678,453
2015,455,472
2015,175,884
2015,924,202
2015,882,173
2015,849,222
2015,943,345
2015,759,292
2015,770,305
2015,567,581
2015,693,501
2015,676,502
2015,693,357
2015,627,388
2015,747,377
2015,578,427
2015,769,130
2015,959,288
2015,246,949
2015,352,592
2015,609,397
2015,905,492
2015,917,484
2015,532,408
2015,332,961
2015,524,906
2015,485,457
2015,609,639
2015,706,538
2015,683,497
2015,532,908
2015,350,707
2015,813,663
2015,588,520
2015,683,304
2015,607,315
2015,781,381
2015,693,456
2015,294,787
2015,399,855
2015,644,689
2015,621,923
2015,853,94
2015,137,798
2015,66,534
2015,121,516
