x,y
2016,291,322
2016,331,294
2016,533,77
2016,683,676
2016,261,673
2016,279,652
2016,91,317
2016,133,64
2016,275,662
2016,330,640
2016,357,630
2016,273,59
2016,307,356
2016,248,485
2016,180,122
2016,158,52
2016,318,73
2016,333,73
2016,680,369
2016,685,365
2016,954,545
2016,340,686
2016,479,606
2016,653,502
2016,902,543
2016,312,634
2016,307,621
2016,493,608
2016,651,377
2016,480,457
2016,221,458
2016,281,690
2016,251,713
2016,938,938
2016,663,624
2016,708,615
2016,666,662
2016,738,768
2016,869,922
2016,856,871
2016,795,900
2016,804,900
2016,133,212
2016,473,734
2016,623,117
2016,580,666
2016,468,632
2016,653,232
2016,641,946
2016,646,910
2016,918,589
2016,800,865
2016,804,916
2016,875,202
2016,435,422
2016,334,393
2016,429,417
2016,485,460
2016,647,480
2016,869,904
2016,855,873
2016,61,257
2016,897,517
2016,781,435
2016,703,550
2016,683,641
2016,281,688
2016,458,683
2016,470,672
2016,512,680
2016,313,634
2016,416,582
2016,478,574
2016,483,624
2016,597,735
2016,879,474
2016,451,510
2016,218,49
2016,375,583
2016,303,659
2016,387,594
2016,405,595
2016,368,728
2016,894,734
2016,869,770
2016,944,854
2016,943,887
2016,860,867
2016,882,892
2016,855,913
2016,950,873
2016,353,320
2016,238,643
2016,139,670
2016,552,149
2016,359,798
2016,366,615
2016,593,527
2016,373,254
2016,297,271
2016,125,63
2016,605,879
2016,582,855
2016,644,928
2016,827,938
2016,373,803
2016,381,768
2016,723,363
2016,386,441
2016,400,447
2016,425,452
2016,384,246
2016,277,221
2016,162,121
2016,841,867
2016,691,483
2016,690,713
2016,737,708
2016,949,889
2016,77,594
2016,108,647
2016,68,596
2016,145,168
2016,453,619
2016,402,565
2016,359,591
2016,416,685
2016,506,674
2016,499,667
2016,486,654
2016,283,872
2016,502,781
2016,482,858
2016,537,731
2016,901,762
2016,880,780
2016,911,511
2016,427,644
2016,540,717
2016,465,788
2016,123,909
2016,765,878
2016,887,833
2016,878,898
2016,945,900
2016,959,916
2016,623,632
2016,717,360
2016,720,350
2016,953,503
2016,781,747
2016,895,828
2016,872,805
2016,912,870
2016,592,524
2016,594,751
2016,559,599
2016,693,481
2016,879,776
2016,881,776
2016,818,750
2016,926,961
2016,144,612
2016,64,154
2016,676,681
2016,615,672
2016,394,865
2016,283,870
2016,390,895
2016,818,762
2016,865,816
2016,859,776
2016,871,898
2016,848,890
2016,836,829
2016,898,474
2016,892,279
2016,730,883
2016,805,945
2016,931,941
2016,933,899
2016,927,891
2016,608,615
2016,407,647
2016,284,657
2016,275,704
2016,394,645
2016,323,718
2016,348,731
2016,758,921
2016,922,594
2016,374,623
2016,238,620
2016,735,709
2016,801,687
2016,810,739
2016,391,754
2016,497,799
2016,492,802
2016,613,902
2016,401,612
2016,291,662
2016,528,699
2016,856,718
2016,867,913
2016,899,738
2016,208,889
2016,901,762
2016,844,823
2016,817,860
2016,744,814
2016,444,453
2016,606,643
2016,623,626
2016,289,695
2016,349,706
2016,306,664
2016,358,720
2016,605,448
2016,717,382
2016,71,440
