x,y
2017,537,79
2017,422,739
2017,793,198
2017,481,613
2017,269,707
2017,360,713
2017,349,637
2017,280,643
2017,393,353
2017,669,83
2017,673,70
2017,546,689
2017,833,125
2017,757,82
2017,815,127
2017,786,386
2017,564,384
2017,789,139
2017,68,723
2017,80,721
2017,190,515
2017,98,772
2017,946,475
2017,935,464
2017,910,491
2017,950,954
2017,766,318
2017,463,465
2017,401,456
2017,514,151
2017,538,515
2017,498,324
2017,339,387
2017,81,491
2017,960,536
2017,814,91
2017,836,121
2017,243,623
2017,300,626
2017,406,603
2017,605,372
2017,569,390
2017,622,444
2017,315,446
2017,316,409
2017,422,474
2017,446,447
2017,460,445
2017,772,107
2017,368,870
2017,445,484
2017,693,322
2017,750,300
2017,147,789
2017,323,809
2017,758,561
2017,518,266
2017,261,639
2017,79,683
2017,417,328
2017,365,348
2017,135,532
2017,233,640
2017,411,424
2017,419,287
2017,531,467
2017,891,346
2017,373,942
2017,870,106
2017,719,59
2017,599,526
2017,849,190
2017,735,129
2017,110,565
2017,425,88
2017,457,564
2017,423,477
2017,241,634
2017,640,594
2017,784,313
2017,490,362
2017,510,464
2017,648,400
2017,199,878
2017,358,618
2017,289,421
2017,326,496
2017,329,451
2017,483,208
2017,545,359
2017,578,428
2017,585,369
2017,357,410
2017,482,303
2017,467,651
2017,334,658
2017,199,788
2017,269,791
2017,103,798
2017,66,803
2017,800,380
2017,223,932
2017,289,803
2017,276,897
2017,278,933
2017,243,886
2017,200,898
2017,117,863
2017,131,782
2017,544,536
2017,426,470
2017,430,480
2017,386,363
2017,297,321
2017,392,349
2017,901,323
2017,952,291
2017,522,354
2017,638,228
2017,485,326
2017,387,427
2017,750,119
2017,682,56
2017,877,113
2017,523,538
2017,411,428
2017,295,347
2017,708,678
2017,939,390
2017,861,486
2017,934,515
2017,949,499
2017,944,393
2017,284,648
2017,245,636
2017,725,113
2017,418,341
2017,230,441
2017,328,281
2017,298,265
2017,406,232
2017,306,151
2017,138,194
2017,125,768
2017,590,550
2017,579,515
2017,507,510
2017,703,190
2017,722,58
2017,802,95
2017,102,716
2017,776,269
2017,822,182
2017,757,98
2017,345,515
2017,327,506
2017,294,487
2017,829,508
2017,848,351
2017,658,299
2017,760,465
2017,636,398
2017,493,61
2017,67,597
2017,479,422
2017,900,262
2017,667,172
2017,461,507
2017,72,691
2017,427,480
2017,805,158
2017,182,470
2017,339,257
2017,948,237
2017,114,401
2017,695,88
2017,576,534
2017,517,83
2017,232,878
2017,230,551
2017,194,666
2017,232,278
2017,540,273
2017,398,392
2017,386,241
2017,35,247
2017,941,255
2017,435,945
2017,616,442
2017,646,426
2017,716,58
2017,403,406
2017,414,424
2017,445,785
2017,459,474
2017,491,541
2017,468,496
2017,449,491
2017,444,442
2017,319,357
2017,313,334
2017,456,432
2017,487,454
2017,312,702
2017,352,710
2017,633,420
2017,208,259
2017,80,170
2017,381,766
2017,401,459
2017,569,197
2017,540,358
2017,327,955
2017,420,434
2017,715,221
2017,762,593
2017,699,157
2017,685,507
2017,398,779
2017,357,785
2017,527,552
2017,529,329
2017,689,397
2017,588,339
2017,362,417
2017,450,517
2017,480,610
2017,647,850
2017,589,366
2017,933,372
2017,421,557
2017,483,620
2017,372,583
2017,409,431
2017,320,325
2017,793,459
2017,703,385
2017,415,464
2017,128,907
2017,753,346
2017,799,309
2017,689,173
2017,708,89
2017,691,76
2017,708,55
2017,438,402
2017,146,511
2017,355,586
2017,324,660
2017,428,643
2017,235,699
2017,326,814
2017,682,652
2017,750,713
2017,411,454
2017,529,509
2017,180,922
2017,743,347
2017,752,366
2017,456,310
2017,579,346
2017,409,431
2017,122,774
2017,362,410
2017,507,482
2017,817,126
2017,686,343
2017,802,275
2017,619,377
2017,746,290
2017,496,351
2017,54,701
2017,86,602
2017,164,633
2017,399,365
2017,90,386
2017,390,499
2017,149,824
2017,826,133
2017,454,482
2017,719,237
2017,700,374
2017,459,520
2017,579,519
2017,392,448
2017,391,447
2017,411,485
2017,519,471
2017,369,375
2017,543,387
2017,421,555
2017,327,545
2017,314,583
2017,698,115
2017,692,86
2017,483,428
2017,898,337
2017,225,571
2017,493,464
2017,692,114
2017,833,158
2017,567,508
2017,521,530
2017,372,412
2017,531,450
2017,502,461
2017,351,377
2017,388,389
2017,561,484
2017,592,368
2017,336,513
2017,546,532
2017,685,569
2017,556,541
2017,786,88
2017,691,73
2017,60,667
2017,83,728
2017,554,381
2017,448,425
2017,716,93
2017,184,682
2017,389,443
2017,506,498
2017,669,496
2017,635,502
2017,422,600
2017,80,716
2017,331,519
2017,496,903
2017,426,653
2017,454,466
2017,423,431
2017,547,228
2017,415,321
2017,542,160
2017,420,953
2017,774,78
2017,704,304
2017,542,72
2017,592,111
2017,507,189
2017,490,449
2017,122,771
2017,240,787
2017,620,237
2017,776,127
2017,582,349
2017,690,390
2017,339,358
2017,348,316
2017,731,146
2017,772,118
2017,240,766
2017,608,240
2017,463,511
2017,279,898
2017,724,205
2017,640,399
2017,799,280
2017,407,411
2017,355,414
2017,603,289
2017,531,66
2017,575,451
2017,410,426
2017,56,696
2017,131,832
2017,459,648
2017,431,609
2017,409,642
2017,252,916
2017,651,167
2017,725,99
2017,214,526
2017,493,266
2017,436,486
2017,52,723
2017,422,415
2017,683,617
2017,744,314
2017,815,146
2017,716,213
2017,847,111
2017,444,408
2017,504,540
2017,485,552
2017,179,675
2017,501,525
2017,517,499
2017,601,445
2017,354,929
2017,846,110
2017,935,266
2017,800,240
2017,726,348
2017,821,518
2017,961,470
2017,376,840
2017,704,72
2017,843,329
2017,838,326
2017,129,796
2017,711,61
2017,419,413
2017,624,136
2017,698,307
2017,681,178
2017,762,92
2017,400,506
2017,311,443
2017,374,423
2017,338,740
2017,571,799
2017,365,937
2017,662,296
2017,637,98
2017,140,795
2017,52,702
2017,584,86
2017,405,401
2017,855,507
2017,935,366
2017,419,771
2017,53,496
2017,76,597
2017,115,500
2017,892,513
2017,911,422
2017,732,240
2017,750,256
2017,727,315
2017,74,571
2017,188,779
2017,601,573
2017,198,844
2017,793,666
2017,793,514
2017,598,798
2017,618,959
2017,534,688
2017,571,796
2017,642,91
2017,639,421
2017,422,224
2017,624,658
2017,575,569
2017,243,717
2017,394,962
2017,575,391
2017,439,773
2017,486,736
2017,567,64
2017,511,322
2017,538,330
2017,503,341
2017,416,333
2017,515,611
2017,428,682
2017,407,601
2017,305,717
2017,306,653
2017,260,733
2017,637,406
2017,782,419
2017,761,367
2017,824,484
2017,801,361
2017,855,396
2017,755,375
2017,585,364
2017,55,713
2017,459,431
2017,449,419
2017,418,437
2017,448,458
2017,727,220
2017,912,300
2017,931,279
2017,108,828
2017,73,700
2017,898,565
2017,927,221
2017,595,429
2017,609,506
2017,594,509
2017,610,505
2017,501,834
2017,430,664
2017,119,769
2017,126,801
2017,673,395
2017,766,269
2017,662,56
2017,659,316
2017,826,593
2017,774,365
2017,922,260
2017,722,356
2017,522,475
2017,415,564
2017,413,442
2017,257,432
2017,644,304
2017,796,195
2017,249,488
2017,496,208
2017,626,235
2017,957,475
2017,496,188
2017,405,346
2017,542,265
2017,686,513
2017,619,572
2017,442,440
2017,503,490
