x,y
2016,67,588
2016,219,606
2016,465,488
2016,504,508
2016,313,788
2016,912,230
2016,49,477
2016,728,198
2016,778,105
2016,183,914
2016,816,101
2016,713,57
2016,692,103
2016,397,500
2016,544,445
2016,923,385
2016,114,591
2016,795,367
2016,524,494
2016,413,430
2016,51,641
2016,95,754
2016,592,365
2016,584,349
2016,872,112
2016,371,519
2016,485,412
2016,672,482
2016,458,440
2016,441,441
2016,383,599
2016,205,682
2016,450,478
2016,158,648
2016,154,799
2016,80,689
2016,82,669
2016,87,711
2016,904,275
2016,386,442
2016,753,72
2016,129,840
2016,84,807
2016,435,205
2016,82,758
2016,218,872
2016,538,145
2016,54,705
2016,419,420
2016,436,459
2016,417,399
2016,836,95
2016,86,712
2016,735,609
2016,202,838
2016,398,854
2016,148,905
2016,743,82
2016,75,684
2016,287,63
2016,395,415
2016,251,881
2016,324,586
2016,723,57
2016,83,721
2016,778,224
2016,798,270
2016,804,277
2016,738,63
2016,276,949
2016,768,94
2016,728,60
2016,109,774
2016,853,209
2016,707,60
2016,730,83
2016,637,72
2016,729,91
2016,780,84
2016,733,139
2016,445,329
2016,284,788
2016,947,639
2016,957,587
2016,886,160
2016,636,66
2016,488,228
2016,56,643
2016,961,566
2016,244,888
2016,127,819
2016,721,95
2016,411,383
2016,816,225
2016,53,711
2016,612,558
2016,748,128
2016,360,897
2016,752,396
2016,689,56
2016,721,61
2016,598,75
2016,193,525
2016,922,179
2016,854,218
2016,489,479
2016,58,446
2016,950,244
2016,418,395
2016,603,71
2016,303,820
2016,138,795
2016,465,207
2016,799,73
2016,64,644
2016,480,499
2016,226,750
2016,100,868
2016,57,641
2016,429,439
2016,784,487
2016,859,374
2016,831,341
2016,280,637
2016,687,588
2016,438,327
2016,419,426
2016,175,383
2016,489,546
2016,179,813
2016,587,580
2016,53,718
2016,832,313
2016,826,80
2016,724,59
2016,701,68
2016,573,374
2016,460,466
2016,326,337
2016,62,754
2016,430,455
2016,101,744
2016,103,763
2016,110,738
2016,586,59
2016,217,940
2016,848,208
2016,729,89
2016,63,770
2016,54,713
2016,363,891
2016,505,470
2016,626,664
2016,746,330
2016,554,443
2016,124,864
2016,57,667
2016,60,762
2016,382,409
2016,50,526
2016,289,805
2016,428,696
2016,699,117
2016,457,477
2016,57,720
2016,52,653
2016,705,94
2016,671,366
2016,54,690
2016,68,760
2016,51,688
2016,735,474
2016,134,817
2016,458,441
2016,883,207
2016,401,956
2016,451,556
2016,907,223
2016,900,189
2016,910,250
2016,643,602
2016,879,219
2016,416,427
2016,734,111
2016,568,353
2016,889,174
2016,70,733
2016,422,146
2016,265,44
2016,707,61
2016,632,57
2016,720,58
2016,342,961
2016,408,421
2016,147,811
2016,135,883
2016,157,823
2016,89,849
2016,746,97
2016,54,720
2016,69,810
2016,691,59
2016,112,832
2016,832,88
2016,837,155
2016,812,160
2016,664,55
2016,535,725
2016,775,306
2016,661,172
2016,459,426
2016,365,776
2016,61,779
2016,95,867
2016,80,810
2016,680,416
2016,902,460
2016,468,486
2016,340,621
2016,299,644
2016,704,54
2016,635,89
2016,638,55
2016,401,924
2016,492,538
2016,638,417
2016,659,330
2016,141,842
2016,397,631
2016,491,841
2016,469,727
2016,964,315
2016,904,157
2016,769,68
2016,789,217
2016,721,59
2016,425,396
2016,419,392
2016,479,416
2016,402,737
2016,404,421
2016,449,485
2016,82,707
2016,759,71
2016,86,702
2016,431,490
2016,912,175
2016,861,138
2016,255,868
2016,717,59
2016,570,477
2016,403,448
2016,500,470
2016,507,341
2016,519,599
2016,605,900
2016,646,82
2016,520,52
2016,83,772
2016,634,171
2016,264,855
2016,753,254
2016,273,783
2016,98,659
2016,50,581
2016,848,208
2016,787,280
2016,435,466
2016,309,684
2016,912,716
2016,687,84
