x,y
2014,37,722
2014,169,860
2014,873,322
2014,63,802
2014,641,216
2014,445,843
2014,450,447
2014,730,113
2014,850,107
2014,76,697
2014,824,80
2014,827,98
2014,62,690
2014,854,143
2014,850,141
2014,25,671
2014,772,270
2014,409,409
2014,783,122
2014,765,108
2014,502,228
2014,30,652
2014,712,98
2014,726,211
2014,431,547
2014,499,396
2014,176,892
2014,317,933
2014,742,62
2014,701,43
2014,689,43
2014,721,47
2014,673,47
2014,34,748
2014,702,297
2014,69,611
2014,25,714
2014,398,628
2014,636,302
2014,526,530
2014,483,487
2014,397,429
2014,805,159
2014,683,188
2014,465,412
2014,611,472
2014,583,854
2014,792,149
2014,715,50
2014,675,168
2014,394,423
2014,25,645
2014,737,55
2014,750,231
2014,670,206
2014,272,823
2014,86,791
2014,401,430
2014,363,354
2014,152,782
2014,925,328
2014,775,355
2014,733,303
2014,530,413
2014,346,374
2014,390,396
2014,403,312
2014,472,207
2014,700,313
2014,660,323
2014,644,250
2014,411,409
2014,27,530
2014,61,630
2014,535,518
2014,562,351
2014,727,93
2014,564,274
2014,672,49
2014,553,71
2014,483,41
2014,720,237
2014,763,193
2014,86,754
2014,425,460
2014,58,716
2014,149,883
2014,132,866
2014,659,163
2014,814,73
2014,836,89
2014,728,292
2014,427,847
2014,382,619
2014,685,199
2014,29,712
2014,394,435
2014,377,666
2014,674,310
2014,680,313
2014,700,215
2014,681,345
2014,821,334
2014,667,60
2014,300,841
2014,719,359
2014,702,313
2014,629,352
2014,484,399
2014,804,149
2014,803,143
2014,745,383
2014,606,243
2014,708,461
2014,773,377
2014,699,329
2014,616,370
2014,440,489
2014,385,443
2014,43,679
2014,798,144
2014,804,86
2014,871,144
2014,866,130
2014,373,443
2014,700,48
2014,57,695
2014,615,55
2014,488,205
2014,858,215
