x,y
2015,539,512
2015,355,709
2015,325,704
2015,406,350
2015,447,328
2015,438,551
2015,603,442
2015,718,338
2015,297,506
2015,81,468
2015,331,275
2015,441,542
2015,718,841
2015,663,370
2015,609,396
2015,432,336
2015,445,483
2015,923,391
2015,336,300
2015,277,301
2015,170,126
2015,766,340
2015,733,381
2015,759,337
2015,653,386
2015,686,400
2015,824,609
2015,830,566
2015,593,578
2015,753,517
2015,581,446
2015,296,400
2015,564,490
2015,699,748
2015,669,705
2015,850,804
2015,888,156
2015,572,596
2015,379,427
2015,412,418
2015,453,533
2015,472,496
2015,955,773
2015,891,959
2015,426,419
2015,387,406
2015,365,369
2015,376,234
2015,423,458
2015,414,575
2015,65,301
2015,212,723
2015,225,745
2015,213,808
2015,135,792
2015,67,57
2015,856,455
2015,841,855
2015,376,406
2015,206,552
2015,799,857
2015,307,354
2015,333,904
2015,608,557
2015,338,610
2015,354,694
2015,320,666
2015,312,668
2015,408,479
2015,733,365
2015,559,956
2015,588,948
2015,333,357
2015,280,113
2015,149,72
2015,723,699
2015,112,607
2015,271,638
2015,467,476
2015,214,657
2015,398,340
2015,657,331
2015,603,313
2015,767,234
2015,783,229
2015,791,319
2015,295,505
2015,382,510
2015,315,532
2015,316,509
2015,419,277
2015,126,72
2015,120,135
2015,149,62
2015,933,915
2015,457,70
2015,472,79
2015,454,66
2015,468,68
2015,523,63
2015,310,448
2015,261,687
2015,435,455
2015,690,500
2015,87,391
2015,325,548
2015,523,451
2015,459,472
2015,435,430
2015,284,690
2015,275,683
2015,269,715
2015,411,510
2015,137,899
2015,423,710
2015,543,696
2015,115,441
2015,67,363
2015,81,324
2015,139,89
2015,637,415
2015,588,443
2015,191,790
2015,189,803
2015,157,830
2015,307,796
2015,258,773
2015,100,634
2015,145,508
2015,224,568
2015,266,665
2015,211,241
2015,529,496
2015,505,499
2015,484,449
2015,374,404
2015,74,179
2015,221,77
2015,288,52
2015,186,51
2015,479,616
2015,53,644
2015,52,684
2015,579,553
2015,471,511
2015,321,189
2015,290,205
2015,64,286
2015,109,335
2015,110,357
2015,65,356
2015,906,662
2015,509,319
2015,56,478
2015,61,548
2015,111,413
2015,108,388
2015,244,646
2015,150,137
2015,80,121
2015,82,125
2015,936,919
2015,575,603
2015,409,432
2015,528,568
2015,707,513
2015,323,68
2015,452,503
2015,456,477
2015,491,496
2015,419,467
2015,83,52
2015,612,376
2015,354,591
2015,339,583
2015,355,587
2015,351,538
2015,86,368
2015,89,498
2015,179,451
2015,366,608
2015,564,462
2015,917,304
2015,415,86
2015,524,590
2015,537,476
2015,605,247
2015,433,665
2015,424,636
2015,584,661
2015,556,547
2015,617,634
2015,326,82
2015,298,112
2015,280,53
2015,352,60
2015,241,65
2015,246,47
2015,263,45
2015,239,53
