x,y
2017,415,712
2017,456,511
2017,525,669
2017,341,638
2017,432,421
2017,627,655
2017,665,617
2017,659,670
2017,857,355
2017,775,279
2017,831,87
2017,532,54
2017,52,686
2017,940,274
2017,672,481
2017,569,456
2017,387,932
2017,589,727
2017,782,113
2017,810,351
2017,817,366
2017,205,778
2017,458,488
2017,953,604
2017,664,376
2017,672,438
2017,655,434
2017,660,392
2017,720,720
2017,776,837
2017,818,772
2017,850,901
2017,859,954
2017,836,903
2017,919,941
2017,842,207
2017,961,362
2017,449,440
2017,164,864
2017,383,365
2017,178,394
2017,124,373
2017,881,237
2017,942,594
2017,247,657
2017,274,923
2017,640,418
2017,747,580
2017,304,356
2017,370,957
2017,963,583
2017,566,606
2017,664,228
2017,352,958
2017,101,831
2017,740,159
2017,569,463
2017,845,144
2017,780,330
2017,356,777
2017,239,883
2017,494,461
2017,676,505
2017,624,441
2017,698,651
2017,547,824
2017,608,54
2017,224,614
2017,798,496
2017,934,295
2017,528,900
2017,907,167
2017,887,143
2017,778,106
2017,953,317
2017,498,526
2017,533,497
2017,578,611
2017,456,575
2017,607,631
2017,646,598
2017,916,171
2017,929,277
2017,544,558
2017,939,236
2017,923,370
2017,299,674
2017,611,669
2017,803,187
2017,388,926
2017,478,461
2017,546,655
2017,478,562
2017,310,436
2017,361,521
2017,310,543
2017,589,420
2017,512,333
2017,286,804
2017,342,941
2017,306,935
2017,180,875
2017,404,374
2017,243,574
2017,204,635
2017,129,776
2017,594,348
2017,497,231
2017,574,226
2017,897,285
2017,904,438
2017,445,957
2017,638,230
2017,609,423
2017,812,264
2017,924,219
2017,919,235
2017,247,354
2017,259,344
2017,743,724
2017,629,684
2017,309,928
2017,632,636
2017,958,435
2017,942,494
2017,960,470
2017,954,469
2017,918,542
2017,711,171
2017,570,445
2017,497,351
2017,320,291
2017,267,932
2017,266,913
2017,256,894
2017,245,776
2017,609,675
2017,886,360
2017,572,527
2017,550,514
2017,439,542
2017,890,130
2017,817,85
2017,799,269
2017,657,305
2017,902,220
2017,948,350
2017,945,333
2017,693,273
2017,557,589
2017,358,961
2017,887,169
2017,338,414
2017,663,503
2017,537,666
2017,609,557
2017,637,591
2017,858,179
2017,466,439
2017,851,203
2017,619,433
2017,837,228
2017,577,525
2017,811,234
2017,485,648
2017,366,706
2017,422,737
2017,236,903
2017,425,829
2017,419,855
2017,255,583
2017,892,356
2017,197,550
2017,621,116
2017,547,75
2017,812,254
2017,104,314
2017,782,121
2017,680,543
2017,950,283
2017,919,293
2017,257,739
2017,230,775
2017,214,876
2017,512,937
2017,682,458
2017,672,435
2017,696,434
2017,196,562
2017,740,70
2017,476,379
2017,607,446
2017,616,443
2017,504,418
2017,480,511
2017,685,469
2017,454,789
2017,466,879
2017,536,823
