x,y
2016,925,187
2016,394,845
2016,135,800
2016,324,789
2016,267,334
2016,281,252
2016,716,757
2016,682,733
2016,576,538
2016,256,487
2016,264,686
2016,255,692
2016,274,696
2016,195,652
2016,91,139
2016,126,213
2016,109,434
2016,187,187
2016,116,86
2016,102,78
2016,362,588
2016,318,652
2016,135,123
2016,169,302
2016,297,821
2016,185,106
2016,163,64
2016,95,89
2016,268,40
2016,319,106
2016,293,122
2016,361,586
2016,625,385
2016,675,368
2016,440,565
2016,934,502
2016,937,454
2016,899,426
2016,219,635
2016,214,653
2016,212,674
2016,208,664
2016,326,496
2016,436,871
2016,368,853
2016,628,963
2016,879,904
2016,636,393
2016,577,378
2016,523,354
2016,702,319
2016,361,164
2016,276,104
2016,267,221
2016,148,87
2016,138,181
2016,122,211
2016,43,91
2016,491,73
2016,278,350
2016,400,361
2016,403,356
2016,238,276
2016,435,545
2016,842,857
2016,180,208
2016,47,211
2016,61,195
2016,65,228
2016,51,280
2016,103,283
2016,330,689
2016,268,642
2016,229,598
2016,468,610
2016,483,606
2016,487,667
2016,359,713
2016,265,700
2016,330,677
2016,370,955
2016,524,504
2016,296,201
2016,307,146
2016,296,47
2016,279,47
2016,206,38
2016,64,631
2016,68,511
2016,114,501
2016,53,438
2016,326,371
2016,527,51
2016,212,134
2016,183,121
2016,243,156
2016,26,57
2016,414,606
2016,317,528
2016,410,944
2016,135,301
2016,130,97
2016,102,140
2016,97,72
2016,269,320
2016,285,251
2016,372,246
2016,318,147
2016,250,47
2016,78,60
2016,658,942
2016,372,771
2016,441,776
2016,424,774
2016,731,360
2016,754,262
2016,314,708
2016,319,689
2016,285,687
2016,143,137
2016,355,351
2016,809,665
2016,796,662
2016,718,347
2016,399,878
2016,418,577
2016,307,193
2016,298,152
2016,188,201
2016,430,666
2016,578,552
2016,698,398
2016,877,137
2016,465,459
2016,404,469
2016,559,450
2016,863,875
2016,462,474
2016,410,385
2016,393,376
2016,362,396
2016,140,130
2016,306,690
2016,157,516
2016,120,681
2016,74,159
2016,145,136
2016,389,522
2016,918,671
2016,370,419
2016,597,671
2016,862,824
2016,901,836
2016,880,930
2016,546,560
2016,292,212
2016,221,159
2016,318,55
2016,90,139
2016,362,852
2016,223,894
2016,195,529
2016,415,626
2016,117,477
2016,285,64
2016,268,58
2016,219,68
2016,191,76
2016,45,23
2016,333,844
2016,325,607
2016,431,563
2016,67,565
2016,214,770
2016,249,643
2016,788,723
2016,934,890
2016,920,686
2016,801,821
2016,824,834
2016,485,443
2016,462,343
2016,609,617
2016,535,569
2016,329,661
2016,350,656
2016,670,489
2016,671,476
2016,532,465
2016,565,468
2016,739,361
2016,942,286
2016,345,689
2016,354,597
2016,409,388
2016,353,111
2016,76,36
2016,87,437
2016,71,421
2016,89,605
2016,34,259
2016,338,920
2016,312,661
2016,517,503
2016,421,690
2016,315,501
2016,190,473
2016,117,501
2016,147,252
2016,83,199
2016,129,87
2016,80,55
2016,872,827
2016,77,432
2016,468,492
2016,408,379
2016,261,263
2016,256,221
2016,69,210
2016,137,79
2016,105,48
2016,232,587
2016,101,785
2016,122,753
2016,51,606
2016,57,471
2016,50,528
2016,105,427
2016,368,513
2016,192,82
2016,414,380
2016,58,101
2016,444,676
2016,544,473
2016,476,470
2016,752,461
2016,448,627
2016,571,230
2016,656,620
2016,639,585
2016,691,604
2016,771,581
2016,832,522
2016,765,470
2016,688,641
2016,366,336
2016,380,349
2016,432,416
2016,275,107
2016,67,602
2016,91,524
2016,110,363
2016,217,186
2016,122,134
2016,736,909
2016,252,650
2016,485,514
2016,673,740
2016,766,728
2016,756,732
2016,787,734
2016,763,804
2016,684,762
2016,557,481
2016,537,479
2016,559,423
2016,646,409
2016,527,678
2016,565,514
2016,406,354
2016,438,335
2016,287,407
2016,411,303
2016,704,361
2016,620,382
2016,469,327
2016,429,346
2016,737,380
2016,725,370
2016,325,586
2016,289,291
2016,819,789
2016,816,811
2016,818,814
2016,766,786
2016,846,773
2016,163,500
2016,152,513
2016,65,565
2016,148,523
2016,157,497
2016,149,514
2016,73,419
2016,77,660
2016,948,592
2016,961,465
2016,830,115
2016,159,321
2016,234,879
2016,305,638
2016,275,664
2016,259,645
2016,196,765
2016,428,304
2016,462,346
2016,638,375
2016,694,208
2016,643,243
2016,640,143
2016,457,586
2016,500,456
2016,345,638
2016,428,693
2016,233,298
2016,534,53
2016,452,100
2016,134,77
2016,216,176
2016,203,166
2016,110,71
2016,154,78
2016,109,41
2016,340,209
2016,371,232
2016,343,253
2016,106,61
2016,145,70
2016,301,54
2016,281,46
2016,286,56
2016,60,118
2016,250,130
2016,319,959
2016,59,410
2016,190,340
2016,887,131
2016,741,756
2016,887,743
2016,527,679
2016,547,804
2016,328,723
2016,350,739
2016,392,749
2016,327,793
2016,154,290
2016,741,782
2016,685,727
2016,858,703
2016,685,544
2016,580,718
2016,75,422
2016,84,424
2016,128,97
2016,136,122
2016,753,976
2016,415,634
2016,77,762
2016,297,692
2016,233,637
2016,528,78
2016,560,58
2016,320,56
2016,409,84
2016,202,76
2016,785,669
2016,208,629
2016,880,877
2016,778,837
2016,534,658
2016,333,844
2016,404,427
2016,961,614
2016,453,478
2016,465,491
2016,198,621
2016,85,134
2016,327,432
2016,796,920
2016,266,781
2016,268,772
2016,262,759
2016,271,710
2016,191,649
2016,767,363
2016,491,216
2016,443,168
2016,480,115
2016,363,151
2016,118,139
2016,636,903
2016,746,960
2016,637,368
2016,639,313
2016,399,357
2016,539,438
2016,469,382
2016,189,260
2016,67,512
2016,176,417
2016,58,427
2016,124,252
2016,867,879
2016,843,899
2016,831,917
2016,907,927
2016,698,693
2016,670,625
2016,922,834
2016,813,803
2016,784,863
2016,572,154
2016,393,376
2016,302,488
2016,238,563
2016,224,504
2016,162,112
2016,221,246
2016,88,158
2016,618,635
2016,676,686
2016,782,545
2016,378,640
2016,661,913
2016,659,839
2016,600,748
2016,672,929
2016,697,928
2016,658,940
2016,690,900
2016,469,903
2016,524,62
