x,y
2018,881,716
2018,888,750
2018,594,681
2018,332,572
2018,433,620
2018,359,727
2018,776,377
2018,833,856
2018,937,892
2018,620,903
2018,828,888
2018,947,858
2018,514,691
2018,528,692
2018,474,652
2018,697,666
2018,594,691
2018,809,774
2018,915,869
2018,863,856
2018,874,877
2018,333,585
2018,376,584
2018,181,484
2018,358,699
2018,345,733
2018,222,505
2018,222,551
2018,213,492
2018,157,624
2018,714,965
2018,793,850
2018,808,802
2018,834,695
2018,569,567
2018,322,847
2018,143,181
2018,287,662
2018,246,644
2018,721,672
2018,735,809
2018,669,806
2018,656,878
2018,348,831
2018,874,901
2018,959,955
2018,528,803
2018,293,324
2018,758,262
2018,819,744
2018,395,448
2018,392,496
2018,403,470
2018,779,519
2018,873,834
2018,926,885
2018,591,732
2018,498,239
2018,615,677
2018,733,596
2018,321,555
2018,336,619
2018,169,117
2018,419,392
2018,628,60
2018,498,56
2018,435,55
2018,293,223
2018,327,240
2018,264,889
2018,423,629
2018,401,678
2018,540,468
2018,304,645
2018,687,372
2018,357,729
2018,425,740
2018,608,863
2018,679,942
2018,864,873
2018,243,663
2018,317,697
2018,259,734
2018,547,555
2018,567,545
2018,619,590
2018,670,633
2018,730,723
2018,929,565
2018,936,867
2018,925,933
2018,350,739
2018,584,539
2018,570,516
2018,519,549
2018,823,961
2018,442,572
2018,85,532
2018,111,474
2018,255,178
2018,81,135
2018,182,158
2018,585,562
2018,597,608
2018,586,561
2018,641,481
2018,507,665
2018,460,668
2018,447,778
2018,947,600
2018,557,514
2018,413,647
2018,362,712
2018,651,670
2018,694,680
2018,694,645
2018,884,929
2018,964,570
2018,516,553
2018,469,576
2018,702,701
2018,765,789
2018,920,958
2018,945,293
2018,623,624
2018,655,675
2018,341,723
2018,765,250
2018,884,237
2018,920,310
2018,804,277
2018,612,748
2018,962,691
2018,944,868
2018,962,838
2018,962,821
2018,144,596
2018,333,722
2018,352,723
2018,329,708
2018,491,741
2018,678,655
2018,703,655
2018,829,714
2018,672,500
2018,655,674
2018,807,975
2018,748,968
2018,964,939
2018,710,963
2018,559,815
2018,543,588
2018,385,647
2018,523,510
2018,477,789
2018,945,893
2018,887,818
2018,535,752
2018,334,381
2018,387,714
2018,444,560
2018,503,487
2018,660,647
2018,613,609
2018,721,668
2018,418,613
2018,417,172
2018,538,547
2018,588,547
2018,313,673
2018,279,683
2018,886,923
2018,883,954
2018,398,764
2018,525,537
2018,467,785
2018,398,723
2018,356,694
2018,734,934
2018,823,965
2018,447,647
2018,216,634
2018,602,884
2018,233,500
2018,446,475
2018,719,85
2018,734,72
2018,267,641
2018,254,588
2018,564,706
2018,243,626
2018,736,77
2018,313,726
2018,351,743
2018,924,546
2018,509,535
2018,477,429
2018,587,675
2018,628,614
2018,419,683
2018,158,680
2018,370,652
2018,954,578
2018,151,187
2018,137,366
2018,689,400
2018,86,167
2018,300,103
2018,376,56
2018,297,263
2018,126,357
2018,747,245
2018,704,681
2018,585,724
2018,361,734
2018,382,121
2018,369,615
2018,336,596
2018,469,611
2018,746,876
2018,696,900
2018,885,640
2018,875,945
2018,481,461
2018,504,411
2018,526,360
2018,459,332
2018,526,649
2018,535,687
2018,355,715
2018,903,697
2018,889,705
2018,761,339
2018,771,394
2018,734,320
2018,759,324
2018,445,455
2018,224,111
2018,205,178
2018,296,75
2018,300,187
2018,295,107
2018,306,117
2018,103,596
2018,715,509
2018,374,615
2018,369,638
2018,372,630
2018,472,679
2018,494,822
2018,749,786
2018,778,726
2018,914,806
2018,915,794
2018,749,715
2018,699,837
2018,744,824
2018,899,946
2018,944,712
2018,937,683
2018,80,353
2018,53,300
2018,39,109
2018,34,193
2018,99,248
2018,565,420
2018,130,131
2018,448,589
2018,956,289
2018,775,128
2018,328,553
2018,867,648
2018,877,664
2018,718,690
2018,833,830
2018,503,661
2018,422,652
2018,477,678
2018,586,719
2018,606,638
2018,391,64
2018,655,611
2018,806,642
2018,454,775
2018,461,779
2018,622,778
2018,697,932
2018,898,876
2018,931,637
2018,927,641
2018,754,665
2018,557,688
2018,628,769
2018,609,772
2018,748,763
2018,625,777
2018,523,415
2018,587,413
2018,655,367
2018,670,435
2018,693,480
2018,675,673
2018,434,568
2018,233,723
2018,404,780
2018,537,809
2018,923,619
2018,908,714
2018,926,692
2018,841,659
2018,792,872
2018,683,820
2018,689,954
2018,391,588
2018,380,527
2018,215,126
2018,37,27
2018,594,670
2018,568,504
2018,946,462
2018,922,554
2018,898,811
2018,933,899
2018,897,878
2018,389,860
2018,330,672
2018,291,640
2018,551,584
2018,601,953
2018,822,895
2018,827,918
2018,840,883
2018,196,773
2018,196,779
2018,687,376
2018,957,679
2018,667,935
2018,661,944
2018,703,921
2018,671,944
2018,422,700
2018,443,790
2018,488,775
2018,484,777
2018,439,770
2018,417,768
2018,386,774
2018,327,722
2018,354,722
2018,364,704
2018,716,346
2018,637,300
2018,746,843
2018,896,854
2018,252,733
2018,202,132
2018,191,158
2018,231,179
2018,357,727
2018,378,770
2018,489,788
2018,470,740
2018,465,786
2018,479,675
2018,914,699
2018,884,737
2018,430,652
2018,421,634
2018,599,802
2018,666,920
2018,263,640
2018,509,91
2018,528,73
2018,630,74
2018,676,80
2018,755,348
2018,787,484
2018,514,521
2018,378,355
2018,225,61
2018,288,677
2018,173,206
2018,353,725
2018,908,247
2018,272,707
2018,443,669
2018,384,829
2018,577,898
2018,796,864
2018,867,911
2018,170,843
2018,482,615
2018,344,724
2018,71,819
2018,312,587
2018,327,603
2018,381,511
2018,358,629
2018,259,441
2018,820,652
2018,802,648
2018,815,724
2018,920,561
2018,324,672
2018,274,696
2018,246,734
2018,289,781
2018,305,275
2018,669,657
2018,724,865
2018,762,833
2018,895,845
2018,527,564
2018,573,559
2018,56,109
2018,764,917
2018,904,962
2018,889,874
2018,334,701
2018,333,690
2018,311,660
2018,295,695
2018,218,548
2018,470,918
2018,535,901
2018,840,753
2018,784,749
2018,837,796
2018,904,768
2018,956,938
2018,60,193
2018,118,498
2018,54,372
2018,144,134
2018,41,56
2018,444,574
2018,495,402
2018,557,492
2018,274,771
2018,490,731
2018,789,850
2018,779,866
2018,577,536
2018,653,600
2018,233,734
2018,322,691
2018,441,555
2018,297,638
2018,255,539
2018,272,541
2018,335,791
2018,390,644
2018,383,638
2018,505,681
2018,270,544
2018,381,649
2018,337,414
2018,452,566
2018,451,579
2018,439,584
2018,455,597
2018,491,835
2018,502,804
2018,419,666
2018,346,688
2018,429,614
2018,512,537
2018,662,905
2018,675,904
2018,697,834
2018,798,858
2018,413,703
2018,498,776
2018,524,816
2018,502,742
2018,879,866
2018,932,184
2018,360,701
2018,734,837
2018,861,910
2018,876,870
2018,981,962
2018,946,960
2018,343,621
2018,255,689
2018,220,537
2018,494,550
2018,343,640
2018,189,671
2018,257,751
2018,274,769
2018,404,859
2018,755,315
2018,763,401
2018,740,344
2018,502,403
2018,760,313
2018,840,719
2018,717,679
2018,875,665
2018,884,660
2018,454,950
2018,744,766
2018,751,812
2018,839,807
2018,973,876
2018,949,832
2018,898,948
2018,914,630
2018,937,620
2018,896,596
2018,942,610
2018,441,668
2018,467,682
2018,570,676
2018,649,689
2018,520,697
2018,162,688
2018,93,624
2018,64,595
2018,51,634
2018,926,854
2018,943,900
2018,939,892
2018,930,891
2018,943,894
2018,421,623
2018,390,604
2018,474,567
2018,261,761
2018,262,726
2018,738,745
2018,499,581
2018,474,655
2018,483,785
2018,715,733
2018,701,710
2018,646,411
2018,637,426
2018,637,416
2018,691,745
2018,475,86
2018,664,668
2018,912,670
2018,952,708
2018,947,704
2018,857,735
2018,226,723
2018,209,734
2018,431,867
2018,367,601
2018,327,641
2018,185,794
2018,256,929
2018,202,398
2018,259,149
2018,516,512
2018,498,246
2018,690,763
2018,474,660
2018,351,800
2018,368,780
2018,361,778
2018,447,683
2018,449,858
2018,703,940
2018,610,931
2018,690,893
2018,737,953
2018,342,269
2018,336,365
2018,114,257
2018,243,215
2018,153,186
2018,314,323
2018,361,407
2018,344,623
2018,799,673
2018,820,680
2018,832,691
2018,840,702
2018,786,670
2018,623,270
2018,406,419
2018,432,85
2018,854,353
2018,344,748
2018,620,629
2018,681,711
2018,774,759
2018,800,746
2018,754,729
2018,555,580
2018,660,615
2018,462,777
2018,383,775
2018,750,745
2018,773,768
2018,769,742
2018,191,430
2018,357,740
2018,345,716
2018,48,40
2018,135,127
2018,239,698
2018,281,659
2018,178,492
2018,688,733
2018,780,977
2018,754,726
2018,825,911
2018,822,881
2018,400,625
2018,777,753
2018,888,818
2018,650,809
2018,717,695
2018,830,692
2018,907,714
2018,904,637
2018,564,538
2018,912,584
2018,355,923
2018,267,715
2018,529,593
2018,425,317
2018,128,49
2018,621,510
2018,867,866
2018,882,820
2018,901,856
2018,950,841
2018,870,856
2018,61,57
2018,99,146
2018,867,906
2018,393,640
2018,481,668
2018,483,664
2018,514,670
2018,738,756
2018,540,458
2018,230,115
2018,315,158
2018,603,437
2018,359,945
2018,528,946
2018,204,847
2018,465,730
2018,558,714
2018,428,561
2018,204,369
2018,780,669
2018,914,938
2018,864,867
2018,52,147
2018,101,67
2018,106,156
2018,97,153
2018,83,328
2018,346,623
2018,542,699
2018,191,479
2018,870,909
2018,359,621
2018,318,732
2018,322,461
2018,211,730
2018,933,390
2018,285,701
2018,281,684
2018,481,462
2018,329,568
2018,568,690
2018,576,690
2018,329,708
2018,521,500
2018,591,581
2018,886,781
2018,933,847
2018,963,945
2018,950,967
2018,960,993
2018,929,850
2018,949,783
2018,669,605
2018,637,611
