x,y
2018,444,582
2018,402,575
2018,384,611
2018,464,662
2018,752,771
2018,647,601
2018,756,919
2018,812,902
2018,492,697
2018,320,559
2018,339,520
2018,285,637
2018,330,635
2018,379,754
2018,246,901
2018,573,552
2018,569,421
2018,595,389
2018,514,337
2018,424,213
2018,676,428
2018,758,263
2018,373,854
2018,144,211
2018,52,154
2018,223,48
2018,105,76
2018,121,42
2018,276,634
2018,262,656
2018,245,629
2018,254,633
2018,274,299
2018,273,298
2018,295,225
2018,110,73
2018,317,903
2018,370,899
2018,710,820
2018,617,583
2018,560,336
2018,523,931
2018,601,605
2018,690,729
2018,408,470
2018,454,429
2018,236,287
2018,242,263
2018,222,246
2018,111,43
2018,57,30
2018,414,390
2018,654,632
2018,568,475
2018,362,727
2018,701,306
2018,812,789
2018,694,671
2018,647,664
2018,568,705
2018,468,628
2018,667,673
2018,555,723
2018,458,423
2018,296,563
2018,320,488
2018,553,324
2018,59,112
2018,137,107
2018,371,370
2018,330,289
2018,593,57
2018,522,77
2018,527,115
2018,92,259
2018,340,644
2018,282,641
2018,297,644
2018,386,577
2018,639,933
2018,655,933
2018,688,267
2018,305,720
2018,289,679
2018,425,710
2018,113,634
2018,190,863
2018,563,572
2018,558,557
2018,552,542
2018,570,545
2018,493,595
2018,905,447
2018,957,633
2018,786,923
2018,970,739
2018,914,876
2018,430,611
2018,398,569
2018,373,608
2018,286,625
2018,452,550
2018,201,166
2018,330,671
2018,357,707
2018,369,743
2018,85,140
2018,113,147
2018,373,515
2018,683,518
2018,956,352
2018,413,717
2018,892,647
2018,881,640
2018,617,629
2018,738,742
2018,601,593
2018,283,902
2018,167,632
2018,607,925
2018,409,941
2018,462,949
2018,952,430
2018,311,588
2018,325,608
2018,322,622
2018,104,365
2018,68,292
2018,455,467
2018,449,448
2018,276,321
2018,117,175
2018,343,578
2018,229,427
2018,334,717
2018,332,711
2018,325,710
2018,165,711
2018,550,832
2018,341,599
2018,463,572
2018,513,515
2018,529,527
2018,571,511
2018,562,487
2018,245,702
2018,309,652
2018,327,692
2018,336,667
2018,180,427
2018,566,798
2018,488,487
2018,400,737
2018,397,728
2018,538,114
2018,194,856
2018,443,430
2018,678,300
2018,679,93
2018,703,62
2018,900,144
2018,320,631
2018,420,644
2018,239,618
2018,244,566
2018,206,849
2018,168,567
2018,399,406
2018,281,671
2018,187,567
2018,193,855
2018,246,656
2018,442,689
2018,443,691
2018,446,682
2018,459,681
2018,360,725
2018,333,727
2018,475,477
2018,551,542
2018,586,566
2018,491,588
2018,517,555
2018,770,747
2018,770,750
2018,727,795
2018,337,542
2018,345,528
2018,330,504
2018,46,56
2018,555,421
2018,410,599
2018,407,628
2018,436,656
2018,78,439
2018,175,453
2018,148,292
2018,576,818
2018,392,755
2018,699,336
2018,663,280
2018,684,297
2018,362,95
2018,326,106
2018,60,270
2018,436,423
2018,500,410
2018,755,371
2018,763,400
2018,464,498
2018,466,447
2018,416,423
2018,323,362
2018,467,331
2018,57,119
2018,155,101
2018,287,648
2018,280,708
2018,34,64
2018,224,181
2018,221,178
2018,346,138
2018,229,65
2018,116,804
2018,269,653
2018,175,332
2018,163,360
2018,104,147
2018,63,107
2018,49,79
2018,60,68
2018,363,614
2018,357,632
2018,439,664
2018,422,143
2018,38,280
2018,109,73
2018,55,142
2018,555,478
2018,569,415
2018,466,271
2018,148,163
2018,529,541
2018,516,502
2018,432,603
2018,596,509
2018,413,60
2018,392,80
2018,376,119
2018,210,112
2018,66,65
2018,811,218
2018,879,196
2018,296,263
2018,309,270
2018,301,118
2018,329,81
2018,405,79
2018,353,590
2018,382,610
2018,150,88
2018,32,51
2018,771,810
2018,808,800
2018,423,590
2018,421,677
2018,71,337
2018,322,64
2018,354,71
2018,156,90
2018,524,749
2018,481,507
2018,640,429
2018,348,660
2018,295,647
2018,369,626
2018,212,570
