x,y
2015,736,343
2015,842,164
2015,555,548
2015,646,246
2015,743,376
2015,589,148
2015,755,66
2015,658,382
2015,930,246
2015,561,693
2015,444,640
2015,431,469
2015,541,538
2015,432,403
2015,694,589
2015,189,885
2015,158,828
2015,78,837
2015,755,73
2015,752,264
2015,740,224
2015,754,694
2015,674,441
2015,615,141
2015,512,86
2015,397,428
2015,392,340
2015,312,287
2015,256,138
2015,321,182
2015,675,626
2015,435,440
2015,665,407
2015,542,100
2015,539,62
2015,494,67
2015,434,444
2015,425,695
2015,295,783
2015,539,522
2015,546,498
2015,563,519
2015,639,433
2015,374,954
2015,474,456
2015,556,550
2015,499,470
2015,477,89
2015,553,592
2015,604,597
2015,452,627
2015,540,532
2015,211,486
2015,68,408
2015,91,330
2015,409,449
2015,561,583
2015,573,150
2015,523,593
2015,411,316
2015,122,525
2015,173,494
2015,519,700
2015,762,452
2015,862,129
2015,936,308
2015,505,952
2015,505,598
2015,400,633
2015,582,615
2015,569,467
2015,151,574
2015,525,224
2015,599,253
2015,148,671
2015,794,382
2015,807,146
2015,758,277
2015,761,272
2015,242,726
2015,251,727
2015,516,486
2015,57,728
2015,701,318
2015,400,415
2015,108,824
2015,863,335
2015,835,309
2015,704,507
2015,530,513
2015,545,512
2015,567,468
2015,485,434
2015,450,486
2015,685,120
2015,767,222
2015,121,742
2015,548,562
2015,781,131
2015,571,505
2015,68,757
2015,437,455
2015,309,511
2015,89,560
2015,258,439
2015,370,717
2015,193,782
2015,476,726
2015,162,643
2015,914,483
2015,747,291
2015,247,589
2015,827,501
2015,828,494
2015,771,431
2015,770,339
2015,61,702
2015,732,305
2015,731,325
2015,875,133
2015,856,112
2015,472,895
2015,436,865
2015,312,806
2015,138,789
2015,639,628
2015,736,688
2015,632,624
2015,559,596
2015,444,940
2015,684,905
2015,336,902
2015,786,334
2015,208,546
2015,528,671
2015,631,504
2015,84,657
2015,558,351
2015,480,465
2015,531,486
2015,580,77
2015,103,591
2015,78,647
2015,252,636
2015,415,334
2015,62,296
2015,582,413
2015,502,405
2015,470,431
2015,546,563
2015,674,439
2015,688,278
2015,752,286
2015,662,365
2015,580,374
2015,504,405
2015,493,420
2015,378,395
2015,450,679
2015,499,601
2015,196,865
2015,492,79
2015,674,166
2015,64,730
2015,481,555
2015,515,575
2015,559,531
2015,498,466
2015,694,338
2015,468,913
2015,761,261
2015,556,54
2015,606,67
2015,565,92
2015,470,648
2015,107,467
2015,667,503
2015,600,410
2015,938,393
2015,606,430
2015,590,631
2015,708,332
2015,395,877
2015,658,497
2015,476,544
2015,513,201
2015,432,163
2015,225,443
2015,915,268
2015,124,806
2015,647,363
2015,577,564
2015,783,447
2015,539,133
2015,531,483
2015,489,432
2015,366,338
2015,324,485
2015,758,267
2015,899,565
2015,731,219
2015,802,249
2015,619,389
2015,694,370
2015,736,108
2015,167,924
2015,146,896
2015,425,824
2015,79,440
2015,617,394
2015,669,292
2015,652,323
2015,661,299
2015,464,114
2015,792,514
2015,799,259
2015,801,262
2015,573,464
2015,688,428
2015,100,713
2015,427,602
2015,639,287
2015,380,784
2015,476,609
2015,670,358
2015,610,513
2015,585,52
2015,244,687
2015,179,926
2015,206,905
2015,813,266
2015,863,361
2015,838,331
2015,858,317
2015,891,261
2015,410,402
2015,551,368
2015,210,940
2015,850,159
2015,615,565
2015,766,100
2015,589,375
2015,813,247
2015,460,331
2015,475,321
2015,556,366
